place_id,place_name,description,category,city,rating,alamat,tags
1,Agrowisata Satria,Agrowisata Satria menawarkan 'rasa' Bali pada setiap sesapan teh dan kopi di tengah perkebunan yang asri.Satria Agrowisata merupakan Kebun kopi seluas lima hektare yang membudidayakan kopi berjenis arabika dan robusta. Kopi-kopi yang dibudidayakan di sini bisa langsung diminum oleh pengunjung.Satria Agrowisata selain menyediakan kopi robusta dan arabika juga menyediakan kopi luwak dan aneka jenis kopi lainnya. Luwak memang dipelihara di tempat ini. Wisatawan dapat melihat luwak di dalam kandang.,Agrowisata,Gianyar,3.0," Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",agrowisata satria tawar rasa bal tiap sesap teh kopi tengah kebun asri satria agrowisata rupa kebun kopi luas lima hektare membudidayakan kopi jenis arabika robusta kopi dibudidayakan sini langsung minum unjung satria agrowisata sedia kopi robusta arabika sedia kopi luwak aneka jenis kopi luwak memang pelihara tempat wisatawan lihat luwak dalam kandang agrowisatagianyar
2,Agung Bali,"Dapatkan berbagai produk oleh-oleh khas Bali berupa baju vip, camilan, handycraft dan lain-lain.Agung Bali memberikan nuansa baru dalam belanja oleh-oleh, kalau dulu sebelum ada toko modern sebagai pusat oleh-oleh Bali, maka tempat yang populer dikunjungi wisatawan adalah pasar seni Sukawati, sehingga terkadang tempat parkirpun agak susah, sekarang semua tempat tersebut menjadi lebih leluasa, karena pembeli mulai terbagi.",Belanja,Badung,4.0,"Jln. Dewi Sri No.18XX, Kuta, Badung, Bali",bagai produk khas bal upa baju vip camil handycraft lain agung bal beri nuansa baru belanja kalau dulu ada toko modern bagai pusat bal tempat populer kunjung wisatawan pasar seni sukawati terkadang tempat parkir susah sekarang semua tempat sebut jadi lebih leluasa beli mulai belanjabadung
3,Wisata Air Panas Toya Bungkah,"Pemandian air panas di dekat gunung Batur (Pemandian Air Panas Batur) di Bali merupakan keseluruhan kompleks waduk. Air di dalamnya memanas hingga 50 derajat, mengandung banyak mineral dan belerang, dan memiliki khasiat penyembuhan.Berada di Batur Natura Hot Spring anda bisa menyegarkan tubuh juga menrefresh pikiran anda, melepaskan segala penat, menenggelamkan kejenuhan, sehingga menambah kesegaran tubuh untuk aktifitas berikutnya.Dari sekian banyak objek wisata pemandian air panas, maka Batur Natural Hot Spring menjadi tempat spesial untuk mengisi aktivitas liburan anda bersama keluarga, anak-anak ataupun pasangan terkasih anda.Pemandian air panas alam Batur Natural hot spring Toya Bungkah ini bersuhu sekitar 38-39 °C, keluar dari perut bumi di yang diperkirakan berasal dari energi panas Gunung Batur yang merupakan gunung berapi yang masih aktif.",Alam,Bangli,4.0,"Batur Tengah, Kec. Kintamani, Kabupaten Bangli, Bali",mandi air panas dekat gunung batur mandi air panas batur bal rupa seluruh kompleks waduk air dalam panas hingga 50 derajat kandung banyak mineral belerang milik khasiat sembuh batur natura hot spring bisa segar tubuh menrefresh pikir lepas segala penat tenggelam jenuh tambah segar tubuh aktifitas ikut sekian banyak objek wisata mandi air panas batur natural hot spring jadi tempat spesial isi aktivitas libur sama keluarga anak pasang kasih mandi air panas alam batur natural hot spring toya bung suhu 38-39 c keluar perut bumi di kira asal energi panas gunung batur rupa gunung rap yang masih aktif alambangli
4,Air Terjun Aling-Aling,"Keberadaan air terjun ini semakin mempercantik wisata alam yang terdapat di pulau dewata Bali. Popularitas air terjun satu ini memang masih kalah bila dibandingkan air terjun git-git maupun air terjun sekumpul. Walau demikian, keindahan alam yang ada di air terjun aling aling ini tak kalah juga lo.Dengan ketinggian air terjun kurang lebih 35 kilometer, sehingga tak heran bila guyuran air dari air terjun ini sangat deras dan menghujam menuju ke kolam air yang ada di bawahnya. Dikeliling oleh sejumlah tebing tinggi disekeliling air terjun, kecantikan aling-aling tidak kalah indah dalam menampilkan pesonanya.",Alam,Buleleng,4.5,"Jl. Raya Desa Sambangan, Banjar, Sambangan, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",air terjun makin cantik wisata alam dapat pulau dewata bal popularitas air terjun satu memang kalah bila banding air terjun git-git maupun air terjun kumpul demikian indah alam ada air terjun aling aling tak kalah lo tinggi air terjun kurang lebih 35 kilometer tak heran bila guyur air air terjun sangat deras menghujam tuju kolam air ada bawah keliling jumlah tebing tinggi keliling air terjun cantik aling kalah indah tampil pesona alambuleleng
5,Air Terjun Tegenungan,"Bosan dengan wisata alam pantai dan ingin menikmati suasana alam yang berbeda, Air Terjun Tegenungan jawabannya. Tempat rekreasi alam air terjun di Gianyar ini, mudah dijangkau, pesona alam yang ditawakan indah dan menarik.Berada di kawasan air terjun sangat sejuk karena dilingkupi dengan pepohonan yang rindang. Mulai dari semak-semak, pohon bercabang, dan tak lupa pohon kelapa turut meramaikan suasana. Kombinasi warna hijau dengan jernihnya air terjun menjadi pemandangan yang sempurna.Untuk menuju air terjun, pengunjung harus menuruni ratusan anak tangga. Tidak perlu khawatir karena kondisi tangga sudah sangat baik dan sudah memiliki pengaman. Sebelum mencapai air terjun, ada sebuah tempat berbentuk seperti balkon yang menjorok ke air terjun. Pengunjung dapat berfoto di sini, dengan latar belakang air terjun.",Alam,Gianyar,4.0,"Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581",bosan wisata alam pantai ingin nikmat suasana alam beda air terjun tegenungan jawab tempat rekreasi alam air terjun gianyar mudah jangkau pesona alam tawa indah tarik kawasan air terjun sangat sejuk lingkup pohon rindang mulai semak pohon cabang tak lupa pohon kelapa turut ramai suasana kombinasi warna hijau jernih air terjun jadi pandang sempurna tuju air terjun unjung turun ratus anak tangga perlu khawatir kondisi tangga sangat baik sudah milik kam capai air terjun buah tempat bentuk balkon jorok air terjun unjung foto di sini latar belakang air terjun alamgianyar
6,Air Terjun Tukad Cepung,"Salah satu air terjun yang berbeda dari air terjun lain di Bali adalah Tukad Cepung. Dikatakan berbeda karena air terjunnya tidak terbuka, melainkan berada di dalam goa. Di sekitar air terjun pun seolah belum pernah terjamah oleh manusia. Karena batuan dan tanaman yang ada begitu lebat dan orisinil.Pesona alam indah yang ditawarkan air terjun Tukad Cepung, lambat laun mulai populer, seiring waktu banyak wisatawan yang liburan ke Bali mengemas acara tour ke tempat pariwisata ini.Perjalanan menyusuri jalan setapak menuju air terjun Tukad Cepung Bangli sangat menyenangkan, nuansa alam sepanjang perjalanan cukup asri dalam balutan alam berhawa sejuk, sejumlah titik anda bisa menyaksikan aliran air yang sangat jernih dan menggoda.",Alam,Bangli,4.5,"Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671",salah satu air terjun beda air terjun bal tukad cepung kata beda air terjun buka ada goa di sekitar air terjun olah pernah jamah manusia batu tanam ada lebat orisinil pesona alam indah tawar air terjun tukad cepung lambat laun mulai populer iring waktu banyak wisatawan libur bal emas acara tour tempat pariwisata jalan susur jalan setapak tuju air terjun tukad cepung bangli sangat senang nuansa alam panjang jalan cukup asri dalam balut alam hawa sejuk jumlah titik bisa saksi alir air sangat jernih goda alambangli
7,Aloha Ubud Swing,"Ajaklah orang-orang tercinta untuk mencoba ayunan tandem swing yang seru sekaligus menyenangkan, atau jika Anda ingin merasakan sensasi terbang tinggi sendiri, cobalah single swing yang mengayun tinggi hingga 60 meter di atas tanah.Tidak hanya menikmati keseruan bermain ayunan saja,  pengunjung berkesempatan untuk menikmati berbagai spot menarik lainnya. Tentu akan sangat menarik mengeksplorasi tempat wisata yang memiliki latar belakang pemandangan alam Ubud yang indah. ",Agrowisata,Gianyar,5.0,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",ajak orang cinta coba ayun tandem swing seru sekaligus senang jika ingin rasa sensasi terbang tinggi sendiri coba single swing ayun tinggi hingga 60 meter atas tanah hanya nikmat seru main ayun unjung sempat nikmat bagai spot tarik tentu sangat tarik eksplorasi tempat wisata milik latar belakang pandang alam ubud indah agrowisatagianyar
8,Bali Bird Park,"Atraksi wisata sekaligus tempat penangkaran berbagai jenis spesies burung di Indonesia maupun mancanegara. Selain menampilkan kehidupan alami berbagai jenis burung, bermacam-macam fasilitas dan program spesial diselenggarakan dengan fungsi mendidik dan penangkaran.Pengunjung bisa menikmati beberapa kawasan hingga serasa melintasi wilayah Indonesia, Amerika Latin, Afrika hingga Australia. Setiap zonasi akan memamerkan burung maupun tanaman-tanaman khasnya.",Cagar Alam,Gianyar,4.5,"Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Gianyar 80582 Indonesia",atraksi wisata sekaligus tempat tangkar bagai jenis spesies burung indonesia maupun mancanegara tampil hidup alami bagai jenis burung macam fasilitas program spesial selenggara fungsi didik tangkar unjung nikmat beberapa kawasan hingga serasa lintas wilayah indonesia amerika latin afrika hingga australia tiap zonasi pamer burung maupun tanam khas cagar alamgianyar
9,Handara Iconic Gate,"Gapura indah yang berada di sebelah Pura Ulun Danu Beratan. Gerbang ini salah satu ikon foto paling mengesankan bagi para wisatawan. Dengan kombinasi gerbang kuno dengan perbukitan dan lapangan golf hijau menjadikan gerbang ini menjadi tempat wisata yang wajib dikunjungi.Sekarang ini Bali Handara Gate ini ckup populer, setiap harinya selalu saja ada pengunjung yang datang dengan tujuan foto selfie, latar belakang alam yang hijau, menampilkan taman cantik dan rumput yang hijau yang tertata rapi, memang terlihat instagramable, selain itu kawasan ini terasa sejuk karena berada pada ketinggian 1.142 mdpl, jadi tidak perlu khawatir akan teriknya matahari. Jika anda adalah orang yang suka dengan wisata photo selfie atau hunting tempat-tempat instagramable di Bali, maka Gapura di Bali Handara ini akan menjadi tujuan yang ideal.",Budaya,Buleleng,3.5,"Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",gapura indah ada belah pura ulun danu rat gerbang salah satu ikon foto paling kesan para wisatawan kombinasi gerbang kuno bukit lapang golf hijau jadi gerbang jadi tempat wisata wajib kunjung sekarang bal handara gate ckup populer tiap hari selalu ada unjung datang tuju foto selfie latar belakang alam hijau tampil taman cantik rumput hijau tata rapi memang lihat instagramable itu kawasan asa sejuk ada tinggi 1 142 mdpl jadi perlu khawatir terik matahari anda orang suka wisata photo selfie hunting tempat instagramable bal gapura bal handara akan jadi tuju ideal budayabuleleng
10,Bali Swing,"Bali Swing Tegalalang yang menggantung di antara dua pohon palem ini terletak di desa Tegalalang, utara Ubud, Gianyar, Bali. Ayunan ini menghadap ke pemandangan indah yang tak lain adalah petak-petak teras sawah dan selalu ramai dikunjungi wisatawan. Saat ini Bali Swing menjadi destinasi wisata yang menjadi sorotan karena keunggulan dan keunikannya. Jika Anda sedang merencanakan liburan bersama keluarga mengunjungi tempat ini akan sangat direkomendasikan.Bali Swing mengusung sebuah konsep alam sebagai latar belakang pemandangannya. Saat kamu masuk ke dalam, kamu akan merasakan nuansa yang asri dan sejuk. Hal tersebut bisa dirasakan lantaran sisi kanan dan kirinya dipenuhi dengan pepohonan rindang yang belum terjamah.",Rekreasi,Badung,4.5,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 80352",bal swing tegalalang gantung antara pohon palem letak desa tegalalang utara ubud gianyar bal ayun hadap pandang indah tak adalah petak teras sawah selalu ramai kunjung wisatawan bal swing jadi destinasi wisata jadi sorot unggul uni anda sedang rencana libur sama keluarga unjung tempat ini sangat rekomendasi bal swing usung buah konsep alam bagai latar belakang pandang kamu masuk dalam kamu akan rasa nuansa asri sejuk sebut rasa lantar sisi kanan kiri penuh pohon rindang belum jamah rekreasibadung
