place_id,place_name,description,weekend_holiday_price,weekday_price,category,city,rating,alamat,lat,lng,thumbnail_url,maps_url,more_information
1,Agrowisata Satria,Agrowisata Satria menawarkan 'rasa' Bali pada setiap sesapan teh dan kopi di tengah perkebunan yang asri.Satria Agrowisata merupakan Kebun kopi seluas lima hektare yang membudidayakan kopi berjenis arabika dan robusta. Kopi-kopi yang dibudidayakan di sini bisa langsung diminum oleh pengunjung.Satria Agrowisata selain menyediakan kopi robusta dan arabika juga menyediakan kopi luwak dan aneka jenis kopi lainnya. Luwak memang dipelihara di tempat ini. Wisatawan dapat melihat luwak di dalam kandang.,50000,50000,Agrowisata,Gianyar,3," Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",-8.54862,115.2603,https://storage.googleapis.com/gambara/Balimate/1.%20Agrowisata%20Satria%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Satria+Agrowisata+Ubud,
2,Agung Bali,"Dapatkan berbagai produk oleh-oleh khas Bali berupa baju vip, camilan, handycraft dan lain-lain.Agung Bali memberikan nuansa baru dalam belanja oleh-oleh, kalau dulu sebelum ada toko modern sebagai pusat oleh-oleh Bali, maka tempat yang populer dikunjungi wisatawan adalah pasar seni Sukawati, sehingga terkadang tempat parkirpun agak susah, sekarang semua tempat tersebut menjadi lebih leluasa, karena pembeli mulai terbagi.",0,0,Belanja,Badung,4,"Jln. Dewi Sri No.18XX, Kuta, Badung, Bali",-8.70023,115.1765,https://storage.googleapis.com/gambara/Balimate/2.%20Agung%20Bali%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Agung+Bali+Kuta,https://oleholehagungbali.com/
3,Wisata Air Panas Toya Bungkah,"Pemandian air panas di dekat gunung Batur (Pemandian Air Panas Batur) di Bali merupakan keseluruhan kompleks waduk. Air di dalamnya memanas hingga 50 derajat, mengandung banyak mineral dan belerang, dan memiliki khasiat penyembuhan.Berada di Batur Natura Hot Spring anda bisa menyegarkan tubuh juga menrefresh pikiran anda, melepaskan segala penat, menenggelamkan kejenuhan, sehingga menambah kesegaran tubuh untuk aktifitas berikutnya.Dari sekian banyak objek wisata pemandian air panas, maka Batur Natural Hot Spring menjadi tempat spesial untuk mengisi aktivitas liburan anda bersama keluarga, anak-anak ataupun pasangan terkasih anda.Pemandian air panas alam Batur Natural hot spring Toya Bungkah ini bersuhu sekitar 38-39 °C, keluar dari perut bumi di yang diperkirakan berasal dari energi panas Gunung Batur yang merupakan gunung berapi yang masih aktif.",100000,100000,Alam,Bangli,4,"Batur Tengah, Kec. Kintamani, Kabupaten Bangli, Bali",-8.25001,115.3978,https://storage.googleapis.com/gambara/Balimate/3.%20Wisata%20Air%20Panas%20Toya%20Bungkah%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Wisata+Air+Panas+Toya+Bungkah+Mount+Batur,
4,Air Terjun Aling-Aling,"Keberadaan air terjun ini semakin mempercantik wisata alam yang terdapat di pulau dewata Bali. Popularitas air terjun satu ini memang masih kalah bila dibandingkan air terjun git-git maupun air terjun sekumpul. Walau demikian, keindahan alam yang ada di air terjun aling aling ini tak kalah juga lo.Dengan ketinggian air terjun kurang lebih 35 kilometer, sehingga tak heran bila guyuran air dari air terjun ini sangat deras dan menghujam menuju ke kolam air yang ada di bawahnya. Dikeliling oleh sejumlah tebing tinggi disekeliling air terjun, kecantikan aling-aling tidak kalah indah dalam menampilkan pesonanya.",20000,20000,Alam,Buleleng,4.5,"Jl. Raya Desa Sambangan, Banjar, Sambangan, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",-8.17674,115.1061,https://storage.googleapis.com/gambara/Balimate/4.%20Air%20Terjun%20Aling-Aling%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Aling-Aling+Waterfall+Jumping,
5,Air Terjun Tegenungan,"Bosan dengan wisata alam pantai dan ingin menikmati suasana alam yang berbeda, Air Terjun Tegenungan jawabannya. Tempat rekreasi alam air terjun di Gianyar ini, mudah dijangkau, pesona alam yang ditawakan indah dan menarik.Berada di kawasan air terjun sangat sejuk karena dilingkupi dengan pepohonan yang rindang. Mulai dari semak-semak, pohon bercabang, dan tak lupa pohon kelapa turut meramaikan suasana. Kombinasi warna hijau dengan jernihnya air terjun menjadi pemandangan yang sempurna.Untuk menuju air terjun, pengunjung harus menuruni ratusan anak tangga. Tidak perlu khawatir karena kondisi tangga sudah sangat baik dan sudah memiliki pengaman. Sebelum mencapai air terjun, ada sebuah tempat berbentuk seperti balkon yang menjorok ke air terjun. Pengunjung dapat berfoto di sini, dengan latar belakang air terjun.",20000,20000,Alam,Gianyar,4,"Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581",-8.57536,115.289,https://storage.googleapis.com/gambara/Balimate/5.%20Air%20Terjun%20Tegenungan%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Air+Terjun+Tegenungan,
6,Air Terjun Tukad Cepung,"Salah satu air terjun yang berbeda dari air terjun lain di Bali adalah Tukad Cepung. Dikatakan berbeda karena air terjunnya tidak terbuka, melainkan berada di dalam goa. Di sekitar air terjun pun seolah belum pernah terjamah oleh manusia. Karena batuan dan tanaman yang ada begitu lebat dan orisinil.Pesona alam indah yang ditawarkan air terjun Tukad Cepung, lambat laun mulai populer, seiring waktu banyak wisatawan yang liburan ke Bali mengemas acara tour ke tempat pariwisata ini.Perjalanan menyusuri jalan setapak menuju air terjun Tukad Cepung Bangli sangat menyenangkan, nuansa alam sepanjang perjalanan cukup asri dalam balutan alam berhawa sejuk, sejumlah titik anda bisa menyaksikan aliran air yang sangat jernih dan menggoda.",15000,15000,Alam,Bangli,4.5,"Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671",-8.44102,115.3868,https://storage.googleapis.com/gambara/Balimate/6.%20Air%20Terjun%20Tukad%20Cepung%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Air+Terjun+Tukad+Cepung,
7,Aloha Ubud Swing,"Ajaklah orang-orang tercinta untuk mencoba ayunan tandem swing yang seru sekaligus menyenangkan, atau jika Anda ingin merasakan sensasi terbang tinggi sendiri, cobalah single swing yang mengayun tinggi hingga 60 meter di atas tanah.Tidak hanya menikmati keseruan bermain ayunan saja,  pengunjung berkesempatan untuk menikmati berbagai spot menarik lainnya. Tentu akan sangat menarik mengeksplorasi tempat wisata yang memiliki latar belakang pemandangan alam Ubud yang indah. ",300000,300000,Agrowisata,Gianyar,5,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",-8.46391,115.2765,https://storage.googleapis.com/gambara/Balimate/7.%20Aloha%20Ubud%20Swing%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Aloha+Ubud+Swing,
8,Bali Bird Park,"Atraksi wisata sekaligus tempat penangkaran berbagai jenis spesies burung di Indonesia maupun mancanegara. Selain menampilkan kehidupan alami berbagai jenis burung, bermacam-macam fasilitas dan program spesial diselenggarakan dengan fungsi mendidik dan penangkaran.Pengunjung bisa menikmati beberapa kawasan hingga serasa melintasi wilayah Indonesia, Amerika Latin, Afrika hingga Australia. Setiap zonasi akan memamerkan burung maupun tanaman-tanaman khasnya.",140000,140000,Cagar Alam,Gianyar,4.5,"Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Gianyar 80582 Indonesia",-8.59985,115.2523,https://storage.googleapis.com/gambara/Balimate/8.%20Bali%20Bird%20Park%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Bali+Bird+Park,
9,Handara Iconic Gate,"Gapura indah yang berada di sebelah Pura Ulun Danu Beratan. Gerbang ini salah satu ikon foto paling mengesankan bagi para wisatawan. Dengan kombinasi gerbang kuno dengan perbukitan dan lapangan golf hijau menjadikan gerbang ini menjadi tempat wisata yang wajib dikunjungi.Sekarang ini Bali Handara Gate ini ckup populer, setiap harinya selalu saja ada pengunjung yang datang dengan tujuan foto selfie, latar belakang alam yang hijau, menampilkan taman cantik dan rumput yang hijau yang tertata rapi, memang terlihat instagramable, selain itu kawasan ini terasa sejuk karena berada pada ketinggian 1.142 mdpl, jadi tidak perlu khawatir akan teriknya matahari. Jika anda adalah orang yang suka dengan wisata photo selfie atau hunting tempat-tempat instagramable di Bali, maka Gapura di Bali Handara ini akan menjadi tujuan yang ideal.",20000,20000,Budaya,Buleleng,3.5,"Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",-8.2531,115.1583,https://storage.googleapis.com/gambara/Balimate/9.%20Handara%20Iconic%20Gate%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Handara+Iconic+Gate,
10,Bali Swing,"Bali Swing Tegalalang yang menggantung di antara dua pohon palem ini terletak di desa Tegalalang, utara Ubud, Gianyar, Bali. Ayunan ini menghadap ke pemandangan indah yang tak lain adalah petak-petak teras sawah dan selalu ramai dikunjungi wisatawan. Saat ini Bali Swing menjadi destinasi wisata yang menjadi sorotan karena keunggulan dan keunikannya. Jika Anda sedang merencanakan liburan bersama keluarga mengunjungi tempat ini akan sangat direkomendasikan.Bali Swing mengusung sebuah konsep alam sebagai latar belakang pemandangannya. Saat kamu masuk ke dalam, kamu akan merasakan nuansa yang asri dan sejuk. Hal tersebut bisa dirasakan lantaran sisi kanan dan kirinya dipenuhi dengan pepohonan rindang yang belum terjamah.",500000,500000,Rekreasi,Badung,4.5,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 80352",-8.48888,115.2399,https://storage.googleapis.com/gambara/Balimate/10.%20Bali%20Swing%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Bali+Swing+Saraswati,
